location,forecast_date,quantile,prediction,horizon,model,target_end_date,target_type,expert
GB,2021-05-24,0.45,57,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.5,59,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.5,59,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.55,61.4500000000001,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.55,61.4500000000001,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.6,64,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.6,64,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.65,67,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.65,67,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.7,70,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.7,70,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.75,73,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.75,73,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.8,77,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.8,77,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.85,83,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.85,83,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.9,90,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.9,90,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.95,102.05,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.95,102.05,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.975,114,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.975,114,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.99,123.03,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.99,123.03,1,EpiNow2,2021-05-29,Deaths,
GB,2021-05-24,0.01,18.99,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.01,18.99,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.025,22.975,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.025,22.975,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.05,28,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.05,28,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.1,35,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.1,35,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.15,38,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.15,38,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.2,41,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.2,41,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.25,44,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.25,44,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.3,47,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.3,47,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.35,50,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.35,50,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.4,53,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.4,53,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.45,56,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.45,56,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.5,59,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.5,59,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.55,62,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.55,62,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.6,65,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.6,65,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.65,68,2,EpiNow2,2021-06-05,Deaths,
